clean_text,label_encoded
selalu puas dengan pesanan rata sesuai dgn yg diinginkan,2
sangat membantu keren,2
penjualnya ga niat jualan,0
sangat bagus,2
pembelian bisa transfer langsung memudahkan transaksi keponya ketika dihubungi kurir pas ngga ditempat waswas jika salah kirim,2
saya sangat suka dengan shopee dan setiap pesan barang selalu bagus,2
terimakasih shopee kamu emang ok 👍,2
jozz,2
semakin lama semakin ga jelas,1
ok buat saya,2
selamat datang kembali,2
aplikasi belanja yang sangat membantu untuk sayaterima kasih untuk semua yang terkait di dalam nyasemoga kita semua di berikan kemudahan di segala urusan kita amin,2
maksih,2
pengiriman sekarang lama banget,0
top markotop,2
shopee sangat membantu sekali buat saya,2
okk pelayannya,2
bagus bngt,2
shopee is the best,2
aplikasi ini sangat mudah dan cepat,2
sangat baik memudahkan berbelanja kebutuhan seharihari,2
sangat membantu,2
makin kesini makin jelek aplikasinya pengiriman barangnya lama bgtttt belum lagi barangnya dibawa kesana kesini jdi makin lama sampenya kadang di keterangan di bilang udah sampe taunya belum,0
aplikasi sudah bagus penjualan online terpercaya dan bisa pakai sea bank semoga tetap mengawal penjual yg jual di shopee tetap amanah,2
belanja online selalu di shopee,2
bermanfaat,2
tolong waktu pengirimannya harus konsisten dengan estimasi waktu tibanya,2
terbaik,2
sangat mudah belanja dishopee metode pembayaran dan pengiriman sangat beragam pilihan vouchernyapun banyak sayangnya vouchernya sekarang tidak bisa digabung seperti dahulu dan untuk voucher yg besar sekarang mesti berlangganan,2
aplikasi shopee sangat bermanfaat sekali apalagi yang seperti saya ini yg selalu dirumah tapi masih bisa belanja 🥰,2
shopee keren,2
mantap,2
ok,2
recomeded banget,2
shopee keren ongkir murah dan gratis tapi sekarang reture sama kurir jne males banget downgrade pelayanan jadinya,2
koin shoope live kenapa tidak ada menu penarikan,0
menurut ku pengiriman nya sekarang lama dan untuk ambil ditempat nya terkadang lokasi tidak sesusai dan tidak update alamatnya serta terlalu lama digudang sehingga tidak dapat segera diterima atau diantarkan,2
terbaik,2
ok sangat bangus,2
skrng shopee gk amanah toko toko nya pada tukang tipu saran aja kalo toko kaya gitu blokir aja dri shopee nya sebagai pengguna lama shopee udah berapa kali kena tipu barang barang shopee kecewa bgt sih pdhl aku pilih shopee krna dulu emg amanah pengiriman cepat skrng malahan yg ktnya hari hari sampe malah suka hari sampe nya gmna ya skrng udh di uninstal ganti apk lain aja udh kecewa sma shopee,0
sya tdk bisa mngginstal,0
mantap man,2
cari apa aja sll ada dan mudah di dpt,2
agak gimana gitu tiap ga jadi beli pembatalan selalu di tolak sm seller pdhl pngirimn juga masihh lamaa orang g jadi beli ya ga jadi beli tpi jg puas blnja d shopee bisa di cek dulu brgnya agak ganjel sm yang pembatalan d tolak aj,0
please lah daerah kalsel shopee buruk banget mesan sebulan lebih gak datang² stuk di banjarmasin terus tidak suka kalo gini berlangganan di shopee jelek sekali pengantaran nya,0
mantap djiwa mempermudah hidup,2
aplikasi yang sangat membantu,2
pengiriman cepat dan aplikasinya bagus bgts,2
hadeh udah bulan paket engga sampai,0
memuaskan,2
gratis ongkos kirim tapi pengirimannya makin lelet,1
bagis,1
sangat bagus digunakan untuk berbelanja secara offline dijamin sesuai pesanan,2
berbelanja di sini sangat menyenangkan pokoknya rekomendasi bgt deh,2
sumpah shopee menggangu banget buka aplikasi malah teralihkan ke shopee jangan kaya gini lah gak nyaman tau buka apa malah yang terbuka shopee gak bagus banget shopee sekarang jelekkk banget,0
mantap,2
cukup bagus pelayananx,2
bhan nya bgus,2
shopee mantappppp,2
ongkirnya lumayan murah 👍 pokoknya mantap 👍👍👍 terima kasih shopee 🙏,2
suka bangets belanja online di aplikasi ini pemakaian mudah banyak diskon dan gratis ongkir hampir tidak pernah mengalami kendala selama memakai aplikasi ini,2
sangat membantu sekali dan sangat bermanfaat juga banyak promo nya,2
sekarang shopee sulit mau hapus toko gak bisa adeh adeh karena mau ganti produk baru dan harus tokonya baru,0
saya baru bulan terakhir belanja di shopee sebelumx belanja ditempat lain selain tidak ada ongkir barang yang dijual lebih berkwalitas,2
cari yg ga ada di toko luarya cari di shopee ajapasti ada dehharga lebih murmersekali klik paketassiap bang kurir pertahankan terus kepercayaan konsumendan lebih safetykarena banyak modus pesan di kirimeh tapi ada oknum yang whatsapp katanya barang tertukar,2
aplikasi yang dipercaya,2
sejauh ini sya puas aplikasi yg sngat bagus,2
bagus 👍,2
good job 👍,2
mantap pelayanan dan lain lainya top,2
tolong block atau kasih peringatan kepada toko ini devi colletions saya chat mau tanya barang ready ngak sampai sekarang blm di jawab padahal online tolong di ketatkan lagi soal penjual yang tidak membaca chat pembeli jangan lagsung di jawab sama ai kalau di jawab sama ai tidak bisa di pahami tolong kasih peringatan kpd devi colletions,0
shopi terbaik,2
semoga banyak gratis ongkirnya,2
mantul cuma liat laif dapet coin jadi rupiah bisa buat tambahan belanja makasih sopi,2
sangat membantu informasinya,2
woi ini knp kok tiba shopefoodnya tidak bisa cod,0
ok,2
shopee langanan saya paling amanah,2
respon cepat akuratgrecep,2
cukup ramah dan tepat waktu,0
sangat bagus dan banyak diskonnya,2
udah capek nunggu malah pesan di batalkan,0
aplikasi kurang kurang memuaskanudah belanja jutaan tp ga dapat spay later dan spinjamtutup akun aza,2
mantap,2
solusi belanja online,2
kurir kakean mabok teseng,1
banyak manfaatnya bisa belanja sesuai buget nya masing masing,2
shopee indonesia banyak promonya,2
ada yang bener ada juga yang ga sesuai,2
ongkir nya terjangkau,2
okelah,2
ok respon dan aplikasinya good trims,2
baik dan sesuai barang yang diinginkan,2
pengirimannya lamaaa puollll,0
tolong dong nextnya kasih no kurir yg mengantarkan paket kita soalnya paket saya udah hari proses pengantaran trs padahal saya stay di rumah ga kemana mana,0
semuanya jd mudah karena shope,2
toko oren racun jadi pengen belanja terus,2
good,2
sangat membantu mencari barang yg dibutuhkan,2
mantap shope mh,2
ngelaggg teruss mb nya besarr,1
mantap,2
tlng buat shopeeu pengiriman diperhatikanpengiriman rada lamaterimakasih,2
sangat membantu,2
sangat puas tp sayang spaylater sy d bekukan krn telat bayar,2
sangat baik,2
pengiriman ke daerah pangndran lewat estimasi trus harap segera perbaikijdi agak mles kalau gini trus,0
keren😎👍,2
udah bagus semoga makin banyak promo nya,2
aplikasi nya bagus terus murah murah dan banyak gratis ongkir,2
baruencoba,2
oke menghidupkan umkm,2
mantap,2
tolong dijaga ya iklan nya pencet dikit masuk aplikasi itu gk baik banget wok padahal cuma mau mencet x doang di iklan susahnya minta ampun harus masuk shope durjana ini lagi mau itu iklan facebook youtube chrome cloud dll sumpah iklan nya ganggu bngt kepencet dikit aja dh beda aplikasi ini malah jadi lazada part pas itu terus barang barang yang saya beli di sini kadang ada yang tidak amanahtidak sesuai dan kadang pengirimanya malah jauh lebih lama di banding tiktok shop apa ini 😂😂,0
bisa ga sih ga usah iklan iklan lu tuh maksa banget gua udah pencet tutup malah ke aplikasi lu maksa banget anj,0
sangat keren dan rekomendet banget,2
selalu puas dengan pengiriman,2
bagus sekali,2
alhamdulillah tidak pernah kecewa,2
layanan shopee mantab,2
mbois,2
mantap,2
aplikasi terpercaya,2
sengaja turunin dr platinum ke silver lagian spaylater tiba dibekukan transaksi jutaan padahal sekarang pakai toko sebelah saja,0
membantu kita yg sibuk untuk belanja,2
mantap,2
membantu,2
puas pelayanan sangat baik,2
estimasi akurat,2
hampir semua barang ada dan bisa kena potongan juga,2
semenjak di upgrade cepat panas hpjadi lemot parah,0
jasa pengiriman spx makin kesini maken kek tali kusut uda pengiriman muter uda dikota tujuan pun g sampek rumah tu barang cuma notif doang kurir sudah ditugaskan paket akan segera dikirim hari g nyampek anying bedah jauh sama jt anying,0
ok,2
sangat okee membantu mencari sesuatu yg jrg d jual pasaran ok ok toko toko yg berbuat curang harap di blokir,2
baik dan baik baik saja,2
bagus sihcuma banyak pedagang nakal nya barang kw tpi bilang nya ora oriapa lagi bagian sperpat motor,2
saya suka dengan apk ini karna ongkir murah sesuai espaatasi tidak mengecewkan,2
ongkir mahal mana lelet lagi pengiriman nya tidak baik selalu lambat,0
mantap,2
cukup puas belanja di sini 👍,2
sesuai dgn keinginanbarang bagus reseller amanah,2
vip ma yg standar cara penanganan nya d bedain dong kita udh bayar member vip tp penanganan ny sama ma yg standar rugi dong,1
sorry banget nih kalau untuk harga memang oren juaranya tapi sekarang pengirimannya lama banget kadang seminggu masih aja dikemas pernah barang udah sampai ke kota tujuan malah tiba tiba balik lagi ke jawa,0
lemoodddddd kali aplikasi shopee sekarang ini,1
saya puas belanja di shopee apalagi mall ori shopee tapi yg tidak puas mengajukan paylater tidak bisa padahal saya tidak ada hutang selalu saya bayar lunas pada waktunya🙏🏻,1
biaya layanan untuk penjualan sangat sangat besar sekali sampai sampai jualan gak dapat untung malah buntung,0
josss gandosss,2
ok,2
lebih mudah mencari sesuatu ya di inginkan,2
kenapa pas menambahkah produk ke keranjang belanja suka lemot dan susahapa karna sinyal atau apalah saat buka aplikasinya mulai lemot banget ngga kaya dulu sat set cepet ngga nunggu,2
banyak barang barang yang sangat bermanfaat bagi semua orang,2
sangat bagus dan kerenbanyak misi koin game dan hadiah juga harga yg terjangkau dan dpt gratis ongkir mantaplah shopee👍👍,2
busuk kebijakan nya hanya menguntungkan pihak shopee,0
suka banget blanja dishopee terimakasih udah beri kenyamanan dalam berbelanja,2
sangat menyenangkan dan sangat berguna bagi kita asal menggunakannya dengan bijak,2
good,2
benci banget main potong saldo spaylater aku padahal aku gak mau pakai vip nya tapi malah dipotong lewat spaylater parah bgt sumpah,0
good job,2
menarik sering aja kasih bonus,2
baru pertama kali pake shopee food ternyata lebih seru ketimbang pke apk lain,2
shopee sukses selalu,2
belanja lebih hemat 🥰,2
lebih mundah dan praktis menggunakan aplikasi oren shoppe,2
sangat memuaskan dan membantu,2
kurirnya kurang menyebabkan barang lambat sampai malahan diretur tanpa diketahui pemesanberalih ke ekspedisi lain ajalah😡,0
sangat murah,2
bagus,2
apk yang sangat berguna,2
gud,2
tolong untuk pembatalan pesanan karena penjual tidak update stok atau bilang ready kemudian beberapa hari kemudian bilang stok kosong diberi tanda di tokonya persentase pembatalan karena tidak update stok jadi pembeli bisa memilih toko mana yang serius jualan,2
ok prosak mantap mantap,2
terima kasih telah menghadirkan aplikasi belanja yang sangat terjangkau juga mudah digunakanbanyak keuntungan besar selain fast respon dalam menjawab semua persoalan juga kualitas toko online juga kurirnya sangat profesional selalu suka berlanja di shopee,2
mantap,2
sangat jelek,0
barangnya bagus bagus sesuai dengan postingan pelayanannya juga sangat memuaskan pertahankan dan kalau bisa lebih di tingkatkan lagi supaya pembeli semakin puas terima kasih,2
oke,2
mantap,2
trima kasih,2
pengiriman lambat hanya berputar dari pky ke banjarbaru trus ke banjarmasin lg sampai lewat waktu estimasi,0
sangat bagus,2
is the best,2
keren top,2
terimakasih shopee saya sejak menjadi pelanggan karena shopee memudahkan saya untuk berbelanja bisa memilih produk sesuai kebutuhan eceran ataupun grosir banyak diskonnya juga bisa belanja dari toko diluar kota jika harga bersaing dan yang jelas ada voucher shopee maupun toko dan bebas ongkir,2
sangat membantu untuk ongkir nya,2
oke,2
ok,2
belanja di shopee sangat hemat ongkos kirim sangat membantu,2
akun sering kali menghilang sendiri,0
pengiriman cepat,2
shopee yang bener aja sihhh sumpah ini aplikasi bikin seller rugi bangetttt masa harga barang rb potongan bisa ampe rb situ ngambil untung apa ngerampok sedangkan aku aja ambil untung cuman rb harga beli rb ku jual rb berharap dapet untung jualan di shopee malah nombok,0
lemmot,0
bagus,2
good job,2
poko nya saya tidak menyesal bisa pesan barang di sini karna kurir dan pesanan sesuai yg d harapkantrmksih kurir pengiriman cepat dan tdk ada kekurangan satu pun menjadi langganan d shopee,2
apk keren,2
